"begdoc","enddoc","begatt","endatt","attachlist"
"CTRL000001","CTRL000002","CTRL000001","CTRL000004","CTRL000001;CTRL000003"
"CTRL000003","CTRL000004","CTRL000001","CTRL000004",""
"CTRL000005","CTRL000006","CTRL000005","CTRL000008","CTRL000005;CTRL000007"
"CTRL000007","CTRL000008","CTRL000005","CTRL000008",""
"CTRL000009","CTRL000010","CTRL000009","CTRL000012","CTRL000009;CTRL000011"
"CTRL000011","CTRL000012","CTRL000009","CTRL000012",""
"CTRL000013","CTRL000014","CTRL000013","CTRL000016","CTRL000013;CTRL000015"
"CTRL000015","CTRL000016","CTRL000013","CTRL000016",""
"CTRL000017","CTRL000018","CTRL000017","CTRL000020","CTRL000017;CTRL000019"
"CTRL000019","CTRL000020","CTRL000017","CTRL000020",""
"CTRL000021","CTRL000022","CTRL000021","CTRL000024","CTRL000021;CTRL000023"
"CTRL000023","CTRL000024","CTRL000021","CTRL000024",""
"CTRL000025","CTRL000026","CTRL000025","CTRL000028","CTRL000025;CTRL000027"
"CTRL000027","CTRL000028","CTRL000025","CTRL000028",""
"CTRL000029","CTRL000030","CTRL000029","CTRL000032","CTRL000029;CTRL000031"
"CTRL000031","CTRL000032","CTRL000029","CTRL000032",""
"CTRL000033","CTRL000034","CTRL000033","CTRL000036","CTRL000033;CTRL000035"
"CTRL000035","CTRL000036","CTRL000033","CTRL000036",""
"CTRL000037","CTRL000038","CTRL000037","CTRL000040","CTRL000037;CTRL000039"
"CTRL000039","CTRL000040","CTRL000037","CTRL000040",""
"CTRL000041","CTRL000042","CTRL000041","CTRL000044","CTRL000041;CTRL000043"
"CTRL000043","CTRL000044","CTRL000041","CTRL000044",""
"CTRL000045","CTRL000046","CTRL000045","CTRL000048","CTRL000045;CTRL000047"
"CTRL000047","CTRL000048","CTRL000045","CTRL000048",""
"CTRL000049","CTRL000050","CTRL000049","CTRL000052","CTRL000049;CTRL000051"
"CTRL000051","CTRL000052","CTRL000049","CTRL000052",""
"CTRL000053","CTRL000054","CTRL000053","CTRL000056","CTRL000053;CTRL000055"
"CTRL000055","CTRL000056","CTRL000053","CTRL000056",""
"CTRL000057","CTRL000058","CTRL000057","CTRL000060","CTRL000057;CTRL000059"
"CTRL000059","CTRL000060","CTRL000057","CTRL000060",""
"CTRL000061","CTRL000062","CTRL000061","CTRL000064","CTRL000061;CTRL000063"
"CTRL000063","CTRL000064","CTRL000061","CTRL000064",""
"CTRL000065","CTRL000066","CTRL000065","CTRL000068","CTRL000065;CTRL000067"
"CTRL000067","CTRL000068","CTRL000065","CTRL000068",""
"CTRL000069","CTRL000070","CTRL000069","CTRL000072","CTRL000069;CTRL000071"
"CTRL000071","CTRL000072","CTRL000069","CTRL000072",""
"CTRL000073","CTRL000074","CTRL000073","CTRL000076","CTRL000073;CTRL000075"
"CTRL000075","CTRL000076","CTRL000073","CTRL000076",""
"CTRL000077","CTRL000078","CTRL000077","CTRL000080","CTRL000077;CTRL000079"
"CTRL000079","CTRL000080","CTRL000077","CTRL000080",""
"CTRL000081","CTRL000082","CTRL000081","CTRL000084","CTRL000081;CTRL000083"
"CTRL000083","CTRL000084","CTRL000081","CTRL000084",""
"CTRL000085","CTRL000086","CTRL000085","CTRL000088","CTRL000085;CTRL000087"
"CTRL000087","CTRL000088","CTRL000085","CTRL000088",""
"CTRL000089","CTRL000090","CTRL000089","CTRL000092","CTRL000089;CTRL000091"
"CTRL000091","CTRL000092","CTRL000089","CTRL000092",""
